BIRTH_DATE,FIRST_ENTERED_US,FIRST_NAME,GENDER,LAST_NAME,MIDDLE_NAME,SSID,STUDENT_ID,id
6/9/1256,07-MAR-16 12.00.00.000000000 AM,Genora,f,Zegarra,Rhino,0x218b2ea30x43165d46,666165,46394
9/5/1287,13-AUG-12 12.00.00.000000000 AM,Laramee,m,Vela Garcia,Legacy-Martin,0x2156f0e80x42ade1d0,976990,35263
3/11/1507,06-OCT-16 12.00.00.000000000 AM,Zelma,n,Garlitz,Katempa,0x2981558d0x5302ab1a,225275,148149
3/11/1898,24-FEB-97 12.00.00.000000000 AM,Rynale,n,Reuter,Javien,0x175401eb0x2ea803d6,445502272,126536
1/5/2380,05-SEP-05 12.00.00.000000000 AM,Weslee,n,Cavalcante,Milam,0x286b652b0x50d6ca56,437170,105139
2/13/2455,10-AUG-08 12.00.00.000000000 AM,Paisa,f,Oguey,Neville,0x34f34a190x69e69432,643753,88797
1/21/1470,27-FEB-94 12.00.00.000000000 AM,Hopelynn,f,Motter,Jemelle,0x18d72c3a0x31ae5874,945046,77368
11/4/2967,07-JAN-09 12.00.00.000000000 AM,Shevelle,m,Curtin,Iker,0xd8d7b640x1b1af6c8,360659,88759
2/21/2025,05-MAY-95 12.00.00.000000000 AM,Maoai,n,Reyes Dominguez,Briana,0x1ab388030x35671006,249729,70221
2/25/2215,04-JAN-12 12.00.00.000000000 AM,Carsen,m,VanDenover,Susan Jeanne,0x2320d97c0x4641b2f8,671835959,113413
11/22/2851,26-JUL-08 12.00.00.000000000 AM,Taela,m,Zilotin,McKrae,0x398a19b20x73143364,376727,142986
10/27/2112,05-FEB-01 12.00.00.000000000 AM,Emeline,m,Orozco Alvarado,Wyatt William,0x191bcd320x32379a64,581373,7456
1/5/1635,10-MAR-09 12.00.00.000000000 AM,Lorriel,n,Garcia Alejandre,Kahawai Pahiwa,0x1da5a2c00x3b4b4580,610233,85662
9/26/1682,16-MAR-99 12.00.00.000000000 AM,Franchesca Belle,n,McDonald,Haas,0x3b0bf2e90x7617e5d2,585173,47290
11/21/2538,28-NOV-05 12.00.00.000000000 AM,Adler,m,Radik,Cylus,0x2bfd9a3d0x57fb347a,681752823,67791
